GeneAcc,HKR1T1,LIR1T1,HKR2T1,LIR2T1,UIR1T1,LIR3T1,HKR1T2,LIR1T2,HKR2T2,LIR2T2,UIR1T2,LIR3T2,HKR1T3,LIR1T3,HKR2T3,LIR2T3,UIR1T3,LIR3T3
17986258,797337.686009471,1332926.89697266,701779.945466574,1662655.81494141,684070.537607459,1350372.38330078,506762.452680772,805150.894042968,494041.68703049,1120807.55273438,409531.780554405,762948.182128906,261981.498785311,437267.045898438,208217.570211416,535879.29296875,227286.481261433,450776.42578125
19923983,428644.386932356,504448.598632813,233553.511505074,454269.456054687,1086502.83705971,1088424.97265625,38400.4029797917,36533.2983398437,15952.0769756748,36933.7478027344,97430.4350390631,82798.0791015625,81484.1643462903,113648.648925781,61948.9395537931,96752.3718261719,176412.976844699,177435.242675781
1002623478,115776.467504567,135848.323242188,87868.3591719139,96760.6484375,71189.7094189048,96496.4526367187,50374.2899916243,51704.5732421875,41912.0762161992,39049.732421875,32326.6606176188,33830.9489746094,44843.3644195644,63122.3403320312,22532.6573485323,68250.4482421875,51015.5578556987,86676.693359375
5453710,281509.976139422,234949.903320313,238912.848861461,210776.433105469,240746.278229136,206298.870605469,246295.453767739,200342.510498047,187628.004518848,181273.555175781,238901.068946974,187272.451416016,372659.687206768,284299.668457031,449280.748168922,287029.392089844,378587.94725378,279129.099609375
5453678,315622.874102013,319722.24609375,376366.309997985,234609.248046875,112335.132069786,74272.2895507812,303905.097870093,481758.673828125,376687.090106727,240140.34375,129265.401014317,86467.5161132813,194924.82408062,149866.967407227,270800.803956825,157713.090332031,68635.8042847698,39800.9192504883
52487191,377094.013284399,342511.242919922,299219.458794563,477815.019195557,351588.471334992,373659.428283692,258534.329844235,275702.577209473,234683.788647694,368955.377685547,314214.954314562,307020.426391602,266743.074691558,250856.793945312,260846.922303951,388821.610107422,306344.397723808,318482.760498047
4507879,318113.440666515,514022.978515625,221330.432684767,214793.770019531,739212.227143001,1132998.6640625,122578.489407027,197197.517578125,96796.7575324671,94273.1708984375,297338.843431919,430970.579101563,191212.94990612,282714.014831543,156190.796968689,131738.935668945,480260.370889179,681449.887817383
93141018,605644.287285552,644120.865234375,700079.997720943,546777.766113281,959735.582090296,1074144.43066406,203858.039533189,240716.107421875,266051.060718014,226828.833496094,349572.474275081,707779.003173828,591609.026658348,642074.773925781,747142.60172644,617970.848144531,948480.466573963,1345636.0078125
4506675,638613.730714093,776196.495117187,329392.616655045,350026.647460937,1181060.88310182,1819928.98046875,324111.517411753,402950.243164063,156469.683479829,191790.747558594,580457.987543688,908868.388671875,434650.943879798,519286.594116211,207352.014208749,298513.258056641,828655.237720199,1192520.46557617
10835063,2301132.10067151,1220394.15039063,1573048.76350639,1179328.93115234,1589953.76297768,1427419.8359375,1384812.83888421,677339.15625,854445.279484941,718588.2734375,912812.88181698,851094.009765625,1439666.65255653,717325.1328125,1003640.84285406,748827.998046875,930567.051488901,833140.212890625
14165439,628771.232800837,494456.461914063,422414.238094669,456310.051757813,775174.753944575,661297.365234375,499500.387374379,375017.067871094,367808.821984567,389019.935546875,612243.141893242,528818.291992188,466858.982188595,339992.128417969,340844.130764433,363643.197021484,614198.068120458,525467.01171875
