GeneAcc,ProteinAcc,GeneSymbol
32130518,NP_000474.2,APOC2
4506597,NP_000967.1,RPL12
187608726,NP_001120664.1,CNBP
5031645,NP_005685.1,COX17
4505753,NP_002620.1,PGAM1
733605926,NP_001290043.1,TUBA1C
10645195,NP_066390.1; NP_003504.2,HIST1H2AE
974005396,NP_001305771.1,CNPY3
4505185,NP_002406.1,MIF
68508967,NP_001020366.1,CES1
194688133,NP_001124160.1; NP_002120.1,HMGB2
24307965,NP_055422.1,UBXN4
7661948,NP_055545.1,MLEC
4758412,NP_004472.1,GALNT2
4507509,NP_003245.1,TIMP1
5803149,NP_006806.1,TMED2
14141193,NP_001004.2,RPS9
156151394,NP_001095868.1,HNRNPR
19923264,NP_004571.2; NP_899058.1; NP_899057.1; NP_899059.1,RAB27A
4885413,NP_005331.1,HINT1
4506661,NP_000963.1,RPL7A
4758302,NP_004441.1,ERH
7661922,NP_055814.1,RAB21
4506363,NP_002861.1,RAB13
4503477,NP_001950.1; NP_066944.1; NP_001032752.1,EEF1B2
8923579,NP_060377.1,LAMTOR1
767914977,XP_011531316.1,C2orf43
157389005,NP_001739.2,CAPN2
11024700,NP_036590.1,TIMM13
5453549,NP_006397.1,PRDX4
18104948,NP_000973.2,RPL21
6005731,NP_009167.1,CHP1
4506613,NP_000974.1,RPL22
52632383,NP_001524.2,HNRNPL
5031631,NP_005497.1,SCARB2
740087210,NP_001289978.1,MYL12A
5453603,NP_006422.1,CCT2
7657257,NP_055580.1,TOMM20
4885375,NP_005310.1,HIST1H1C
4508047,NP_003452.1; NP_001010972.1,ZYX
4501881,NP_001091.1,ACTA1
8922331,NP_060518.1,MAGOHB
568815719,NP_001275582.1,CLTC
669033311,NP_001288172.1,ARHGDIA
4504253,NP_002096.1,H2AFX
4506723,NP_000997.1,RPS3A
4885377,NP_005311.1,HIST1H1D
42794771,NP_110437.2,TXNDC5
33589861,NP_006859.2,RAB31
46249393,NP_001656.2,RHOG
11321585,NP_002065.1; NP_001269468.1,GNB1
531990816,NP_001269091.1,CAPZB
746815975,NP_001290453.1; NP_115914.1,TUBB6
4506711,NP_001021.1,RPS27
5453559,NP_006347.1,ATP5H
4759076,NP_004582.1,CCL20
6912634,NP_036555.1,RPL13A
5802974,NP_006784.1,PRDX3
14251209,NP_001279.2; NP_001274522.1; NP_001274523.1,CLIC1
56676393,NP_001166.3,ARHGDIB
4506765,NP_002952.1; NP_062427.1,S100A4
61743954,NP_001611.1,AHNAK
23110962,NP_004070.3,CTSS
17986283,NP_006000.2; NP_001257328.1,TUBA1A
380837121,NP_004883.3,SEC22B
22208967,NP_665906.1; NP_665908.1; NP_001306007.1; NP_001306008.1; NP_001306010.1; NP_001306011.1,HMGA1
4506773,NP_002956.1,S100A9
4506607,NP_000970.1,RPL18
30089972,NP_004026.2,ACOX1
72534684,NP_001026866.1; NP_036400.2; NP_001278240.1,PLD3
282396088,NP_075565.2,COA7
15055543,NP_115285.1,SRSF8
567757558,NP_001274666.1,SETSIP
4757804,NP_004036.1,ATOX1
53692187,NP_001005386.1,ACTR2
20127408,NP_000173.2,HADHA
409971425,NP_001258535.1; NP_006308.3,BASP1
20070197,NP_005207.2,DDOST
71274186,NP_001025035.1,KIAA1755
